config,phase,run,repetition,kpi,mean,std,median,p5,p25,p75,p95,min,max,n_samples
RTP_Drift,Drift,RTP_Drift-1-20260415-18:36:08-16500,0,handover,0.9166666666666666,0.8620067027323834,1.0,0.0,0.0,2.0,2.0,0.0,2.0,24
RTP_Drift,Drift,RTP_Drift-2-20260415-18:36:23-15340,0,handover,0.8846153846153846,0.8003327710263389,1.0,0.0,0.0,1.75,2.0,0.0,2.0,26
RTP_Drift,Drift,RTP_Drift-3-20260415-18:36:41-3432,0,handover,1.0,0.816496580927726,1.0,0.0,0.0,2.0,2.0,0.0,2.0,30
RTP_Drift,Drift,RTP_Drift-4-20260415-18:37:02-14032,0,handover,0.9285714285714286,0.7985957062499248,1.0,0.0,0.0,2.0,2.0,0.0,2.0,28
RTP_Drift,Drift,RTP_Drift-0-20260415-18:35:51-4740,0,harq_error,0.05185891325071497,0.2217421168095267,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15735
RTP_Drift,Drift,RTP_Drift-1-20260415-18:36:08-16500,0,harq_error,0.18072619569986836,0.3847911613950108,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18232
RTP_Drift,Drift,RTP_Drift-2-20260415-18:36:23-15340,0,harq_error,0.04921999363260108,0.21632703450888377,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15705
RTP_Drift,Drift,RTP_Drift-3-20260415-18:36:41-3432,0,harq_error,0.23001496619703773,0.42084210996811294,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19377
RTP_Drift,Drift,RTP_Drift-4-20260415-18:37:02-14032,0,harq_error,0.0017392467723593551,0.04166799482845547,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14949
RTP_Poisoning,Poisoning,RTP_Poisoning-0-20260415-18:37:21-10512,0,sinr,50.88105100417406,11.844007413551827,49.434003407149,34.947059572907,42.192774238022,58.288411932185,72.825011843865,-0.21670526406213,106.13638725243,14941
RTP_Poisoning,Poisoning,RTP_Poisoning-1-20260415-18:37:32-24924,0,sinr,46.29158029881823,18.430147746628915,48.8547279834415,3.5132567848727,38.64347751974225,59.581969345164495,69.98099725030349,-18.170719777484,81.035882278224,16394
RTP_Poisoning,Poisoning,RTP_Poisoning-2-20260415-18:37:43-17856,0,sinr,44.715587958304226,17.0769772867675,47.546773331074,5.0917444635244,39.71619484706725,55.10534345357875,66.490314249592,-19.96175606761,81.820807586766,15922
RTP_Poisoning,Poisoning,RTP_Poisoning-3-20260415-18:37:54-13364,0,sinr,48.48732283457444,18.333886101745218,51.68381097503,6.8313941663598,41.729863906531,60.113814799501995,73.264227210391,-19.466867595392,95.636849968419,15971
RTP_Poisoning,Poisoning,RTP_Poisoning-4-20260415-18:38:05-25056,0,sinr,50.32586506287664,11.791414112985299,49.701280383536,32.9856935551204,43.419428799886,57.016684219343,71.4840412100216,-5.927213648512,91.954859462617,15049
RTP_Poisoning,Poisoning,RTP_Poisoning-0-20260415-18:37:21-10512,0,cqi,14.569274080032173,0.4951778486924632,15.0,14.0,14.0,15.0,15.0,14.0,15.0,9946
RTP_Poisoning,Poisoning,RTP_Poisoning-1-20260415-18:37:32-24924,0,cqi,14.834342370799334,0.371773020925781,15.0,14.0,15.0,15.0,15.0,14.0,15.0,11397
RTP_Poisoning,Poisoning,RTP_Poisoning-2-20260415-18:37:43-17856,0,cqi,14.481741829468687,0.4996665280052783,14.0,14.0,14.0,15.0,15.0,14.0,15.0,10954
