seed,check_interval,ddd_precision,ddd_recall,ddd_latency,dpd_precision,dpd_recall,dpd_latency,cdd_precision,cdd_recall,cdd_latency,cpd_precision,cpd_recall,cpd_latency,stable_accuracy,drift_accuracy,recovery_accuracy,ndt_pseudo_mean,ndt_gt_mean,atm_deployments,total_mtout,total_security
4,50,0.6,1.0,48,0.4,1.0,48,1.0,0.6666666666666666,148,0.5,1.0,48.0,0.940149625935162,0.62,0.7939698492462312,1.0,0.64375,4,4,13
5,50,0.6,1.0,48,0.6666666666666666,1.0,48,0.8333333333333334,0.8333333333333334,98,0.5,1.0,48.0,0.9326683291770573,0.565,0.7839195979899497,0.9975,0.6475,4,4,10
6,50,0.5555555555555556,0.8333333333333334,98,0.5,1.0,48,1.0,0.8333333333333334,98,0.5,1.0,48.0,0.9451371571072319,0.6,0.8090452261306532,0.99875,0.65875,4,4,13
7,50,0.6,1.0,48,0.4,1.0,48,1.0,0.8333333333333334,98,0.5,1.0,48.0,0.9576059850374065,0.58,0.7939698492462312,1.0,0.645,4,4,13
8,50,0.6,1.0,48,0.5,1.0,48,1.0,0.8333333333333334,98,0.6666666666666666,1.0,48.0,0.9376558603491272,0.57,0.8291457286432161,0.9975,0.6599999999999999,4,4,10
9,50,0.6,1.0,48,0.6666666666666666,1.0,48,1.0,0.8333333333333334,98,0.5,1.0,48.0,0.942643391521197,0.63,0.8040201005025126,0.99875,0.6575,4,4,10
10,50,0.5555555555555556,0.8333333333333334,98,0.5,1.0,48,1.0,0.8333333333333334,98,0.6666666666666666,1.0,48.0,0.9251870324189526,0.595,0.8190954773869347,1.0,0.5599999999999999,3,3,9
11,50,0.6,1.0,48,0.6666666666666666,1.0,48,1.0,0.6666666666666666,148,0.0,0.0,,0.942643391521197,0.6,0.7889447236180904,0.99875,0.64625,4,4,6
12,50,0.6,1.0,48,0.6666666666666666,1.0,48,1.0,0.8333333333333334,98,0.5,1.0,48.0,0.9251870324189526,0.575,0.7638190954773869,1.0,0.6412500000000001,4,4,10
13,50,0.6,1.0,48,0.6666666666666666,1.0,48,0.8333333333333334,0.8333333333333334,98,0.6666666666666666,1.0,48.0,0.9576059850374065,0.615,0.7939698492462312,0.9975,0.665,4,4,9
14,50,0.6,1.0,48,0.6666666666666666,1.0,48,1.0,0.8333333333333334,98,0.5,1.0,48.0,0.942643391521197,0.575,0.8291457286432161,1.0,0.6599999999999999,4,4,11
15,50,0.6,1.0,48,0.6666666666666666,1.0,48,1.0,0.6666666666666666,148,0.5,1.0,48.0,0.9251870324189526,0.62,0.7889447236180904,0.99875,0.6425000000000001,4,4,10
16,50,0.6,1.0,48,0.4,1.0,48,1.0,0.8333333333333334,98,0.5,1.0,48.0,0.9351620947630923,0.565,0.8492462311557789,0.99875,0.64625,4,4,14
17,50,0.6,1.0,48,0.6666666666666666,1.0,48,0.8333333333333334,0.8333333333333334,98,0.5,1.0,48.0,0.9526184538653366,0.63,0.8090452261306532,1.0,0.67875,4,4,10
18,50,0.6,1.0,48,0.6666666666666666,1.0,48,1.0,0.8333333333333334,98,0.6666666666666666,1.0,48.0,0.9326683291770573,0.6,0.8391959798994975,0.9975,0.6775,4,4,9
19,50,0.6,1.0,48,0.5,1.0,48,0.8333333333333334,0.8333333333333334,98,0.5,1.0,48.0,0.9600997506234414,0.575,0.8341708542713567,1.0,0.6537499999999999,4,4,12
20,50,0.5555555555555556,0.8333333333333334,98,0.5,1.0,48,1.0,0.8333333333333334,98,0.6666666666666666,1.0,48.0,0.9451371571072319,0.565,0.7788944723618091,1.0,0.5499999999999999,3,3,11
21,50,0.6,1.0,48,0.3333333333333333,1.0,48,1.0,0.6666666666666666,148,0.6666666666666666,1.0,48.0,0.9650872817955112,0.605,0.8241206030150754,1.0,0.645,4,4,13
22,50,0.6,1.0,48,0.5,1.0,48,1.0,0.8333333333333334,98,0.6666666666666666,1.0,48.0,0.9526184538653366,0.57,0.8542713567839196,0.99875,0.655,4,4,10
